[Blitzen] Log Data
Compile Date:Oct 24 2022 Time:18:58:31

LineNo,Pattern,SPEED,ハンドル,左後モータ,右後モータ,左前モータ,右前モータ,psd,sensor,centor,距離,トータル距離
0360,072,02821,013,0100,0100,0100,0100,00177,00000,00001,08221,00000
0361,072,02548,013,0100,0100,0100,0100,00021,00000,00001,08249,00000
0362,072,02821,012,0100,0100,0100,0100,00020,00000,00001,08280,00000
0363,072,02548,013,0100,0100,0100,0100,00020,00000,00001,08308,00000
0364,072,03003,014,0100,0100,0100,0100,00024,00000,00001,08341,00000
0365,072,02184,013,0100,0100,0100,0100,00072,00000,00001,08365,00000
0366,072,03276,014,-070,-070,-070,-070,00072,00000,00001,08401,00000
0367,072,02457,013,0100,0100,0100,0100,00071,00000,00001,08428,00000
0368,072,03185,011,-010,-010,-010,-010,00071,00000,00001,08463,00000
0369,072,02548,010,0100,0100,0100,0100,00072,00000,00001,08491,00000
0370,072,02730,008,0100,0100,0100,0100,00071,00000,00001,08521,00000
0371,072,02912,005,0100,0100,0100,0100,00072,00000,00001,08553,00000
0372,072,02457,007,0100,0100,0100,0100,00076,00000,00001,08580,00000
0373,072,03003,008,0100,0100,0100,0100,00105,00000,00001,08613,00000
0374,072,02366,008,0100,0100,0100,0100,00099,00000,00001,08639,00000
0375,072,03094,008,0100,0100,0100,0100,00100,00000,00001,08673,00000
0376,072,02548,008,0100,0100,0100,0100,00099,00000,00001,08701,00000
0377,072,03094,008,0100,0100,0100,0100,00024,00000,00001,08735,00000
0378,072,02548,007,0100,0100,0100,0100,00020,00000,00001,08763,00000
0379,072,03094,007,0100,0100,0100,0100,00020,00000,00001,08797,00000
0380,072,03003,006,0100,0100,0100,0100,00021,00000,00001,08830,00000
0381,072,02821,006,0100,0100,0100,0100,00009,00000,00001,08861,00000
0382,072,03094,004,0100,0100,0100,0100,00009,00000,00001,08895,00000
0383,072,02821,004,0100,0100,0100,0100,00010,00000,00001,08926,00000
0384,072,03185,004,-010,-010,-010,-010,00009,00000,00001,08961,00000
0385,072,02821,005,0100,0100,0100,0100,00010,00000,00001,08992,00000
0386,072,03185,006,-010,-010,-010,-010,00010,00000,00001,09027,00000
0387,072,02639,006,0100,0100,0100,0100,00014,00000,00001,09056,00000
0388,072,03185,006,-010,-010,-010,-010,00010,00000,00001,09091,00000
0389,072,02548,006,0100,0100,0100,0100,00058,00000,00001,09119,00000
0390,072,03094,006,0100,0100,0100,0100,00059,00000,00001,09153,00000
0391,072,02184,006,0100,0100,0100,0100,00059,00000,00001,09177,00000
0392,072,03185,005,-010,-010,-010,-010,00058,00000,00001,09212,00000
0393,072,02457,005,0100,0100,0100,0100,00013,00000,00001,09239,00000
0394,072,03185,005,-010,-010,-010,-010,00013,00000,00001,09274,00000
0395,072,02821,004,0100,0100,0100,0100,00013,00000,00001,09305,00000
0396,072,02548,004,0100,0100,0100,0100,00013,00000,00001,09333,00000
0397,072,02912,004,0100,0100,0100,0100,00009,00000,00001,09365,00000
0398,072,02457,003,0100,0100,0100,0100,00009,00000,00001,09392,00000
0399,072,03003,004,0100,0100,0100,0100,00010,00000,00001,09425,00000
0400,072,02366,004,0100,0100,0100,0100,00010,00000,00001,09451,00000
0401,072,03094,005,0100,0100,0100,0100,00010,00000,00001,09485,00000
0402,072,02548,006,0100,0100,0100,0100,00014,00000,00001,09513,00000
0403,072,03003,006,0100,0100,0100,0100,00009,00000,00001,09546,00000
0404,072,02639,007,0100,0100,0100,0100,00009,00000,00001,09575,00000
0405,072,02912,007,0100,0100,0100,0100,00009,00000,00001,09607,00000
0406,072,03094,006,0100,0100,0100,0100,00010,00000,00001,09641,00000
0407,072,02639,010,0100,0100,0100,0100,00009,00000,00001,09670,00000
0408,072,03003,009,0100,0100,0100,0100,00104,00000,00001,09703,00000
0409,073,02730,009,-100,-100,-100,-100,00108,00000,00001,09733,00000
0410,073,03185,010,-100,-100,-100,-100,00106,00000,00001,09768,00000
0411,073,02730,010,-100,-100,-100,-100,00105,00000,00001,09798,00000
0412,073,03367,010,-100,-100,-100,-100,00029,00000,00001,09835,00000
0413,073,02457,008,-100,-100,-100,-100,00030,00000,00001,09862,00000
0414,073,02730,008,-100,-100,-100,-100,00029,00000,00001,09892,00000
0415,073,02093,004,-100,-100,-100,-100,00029,00000,00001,09915,00000
0416,073,02548,000,-100,-100,-100,-100,00105,00000,00001,09943,00000
0417,073,02548,-03,-100,-100,-100,-100,00112,00000,00001,09971,00000
0418,073,01729,-08,0100,0100,0100,0100,00109,00000,00001,09990,00000
0419,073,02457,-10,-100,-100,-100,-100,00105,00000,00001,10017,00000
0420,073,02184,-13,-100,-100,-100,-100,00039,00000,00001,10041,00000
0421,073,01638,-13,0100,0100,0100,0100,00038,00000,00001,10059,00000
0422,073,02093,-13,-100,-100,-100,-100,00038,00000,00001,10082,00000
0423,073,01911,-12,-040,-040,-040,-040,00037,00000,00001,10103,00000
0424,073,01456,-13,0100,0100,0100,0100,00059,00000,00001,10119,00000
0425,073,01365,-09,0100,0100,0100,0100,00059,00000,00001,10134,00000
0426,073,01820,-06,-010,-010,-010,-010,00059,00000,00001,10154,00000
0427,073,01638,-03,0100,0100,0100,0100,00059,00000,00001,10172,00000
0428,073,01365,-01,0100,0100,0100,0100,00059,00000,00001,10187,00000
0429,073,01274,001,0100,0100,0100,0100,00059,00000,00001,10201,00000
0430,073,01911,001,-040,-040,-040,-040,00059,00000,00001,10222,00000
0431,073,01729,002,0100,0100,0100,0100,00059,00000,00001,10241,00000
0432,073,01274,003,0100,0100,0100,0100,00064,00000,00001,10255,00000
0433,073,01729,003,0100,0100,0100,0100,00068,00000,00001,10274,00000
0434,073,02002,003,-100,-100,-100,-100,00063,00000,00001,10296,00000
0435,073,01729,003,0100,0100,0100,0100,00062,00000,00001,10315,00000
0436,073,01274,003,0100,0100,0100,0100,00009,00000,00001,10329,00000
0437,073,01820,002,-010,-010,-010,-010,00009,00000,00001,10349,00000
0438,073,01820,001,-010,-010,-010,-010,00009,00000,00001,10369,00000
0439,073,01820,003,-010,-010,-010,-010,00009,00000,00001,10389,00000
0440,073,01365,002,0100,0100,0100,0100,00009,00000,00001,10404,00000
0441,073,01729,003,0100,0100,0100,0100,00010,00000,00001,10423,00000
0442,073,01729,002,0100,0100,0100,0100,00009,00000,00001,10442,00000
0443,073,01547,003,0100,0100,0100,0100,00009,00000,00001,10459,00000
0444,011,01638,002,0100,0100,0100,0100,00016,00000,00001,10477,00000
0445,011,02002,003,0100,0100,0100,0100,00015,00000,00001,10499,00000
0446,011,02002,003,0100,0100,0100,0100,00015,00000,00001,10521,00000
0447,011,01547,005,0100,0100,0100,0100,00020,00000,00001,10538,00000
0448,011,02093,007,0100,0100,0100,0100,00117,00000,00001,10561,00000
0449,011,02002,007,0100,0100,0100,0100,00115,00000,00001,10583,00000
0450,011,01456,007,0100,0100,0100,0100,00116,00000,00001,10599,00000
0451,011,02366,007,0100,0100,0100,0100,00116,00000,00001,10625,00000
0452,011,02366,007,0100,0100,0100,0100,00101,00000,00001,10651,00000
0453,011,01820,007,0100,0100,0100,0100,00100,00000,00001,10671,00000
0454,011,02639,007,-010,-010,-010,-010,00100,00000,00001,10700,00000
0455,011,02366,007,0100,0100,0100,0100,00100,00000,00001,10726,00000
0456,011,02002,006,0100,0100,0100,0100,00068,00000,00001,10748,00000
0457,011,02639,005,-010,-010,-010,-010,00067,00000,00001,10777,00000
0458,011,02002,004,0100,0100,0100,0100,00067,00000,00001,10799,00000
0459,011,02548,004,0100,0100,0100,0100,00067,00000,00001,10827,00000
0460,011,02639,005,-010,-010,-010,-010,00117,00000,00001,10856,00000
0461,011,01638,004,0100,0100,0100,0100,00117,00000,00001,10874,00000
0462,011,02457,003,0100,0100,0100,0100,00121,00000,00001,10901,00000
0463,011,02457,004,0100,0100,0100,0100,00122,00000,00001,10928,00000
0464,011,02184,004,0100,0100,0100,0100,00113,00000,00001,10952,00000
0465,011,02730,004,-040,-040,-040,-040,00111,00000,00001,10982,00000
0466,011,02184,004,0100,0100,0100,0100,00112,00000,00001,11006,00000
0467,011,02548,004,0100,0100,0100,0100,00111,00000,00001,11034,00000
0468,011,02639,004,-010,-010,-010,-010,00133,00000,00001,11063,00000
0469,011,02002,004,0100,0100,0100,0100,00133,00000,00001,11085,00000
0470,011,02821,003,-100,-100,-100,-100,00136,00000,00001,11116,00000
0471,011,02093,004,0100,0100,0100,0100,00133,00000,00001,11139,00000
0472,011,02821,004,-100,-100,-100,-100,00146,00000,00001,11170,00000
0473,011,02548,005,0100,0100,0100,0100,00141,00000,00001,11198,00000
0474,011,02002,005,0100,0100,0100,0100,00142,00000,00001,11220,00000
0475,011,02730,005,-040,-040,-040,-040,00141,00000,00001,11250,00000
0476,011,02002,004,0100,0100,0100,0100,00174,00000,00001,11272,00000
0477,011,02548,004,0100,0100,0100,0100,00173,00000,00001,11300,00000
0478,011,02457,004,0100,0100,0100,0100,00178,00000,00001,11327,00000
0479,011,02093,004,0100,0100,0100,0100,00172,00000,00001,11350,00000
0480,011,02730,004,-040,-040,-040,-040,00150,00000,00001,11380,00000
0481,011,02457,005,0100,0100,0100,0100,00149,00000,00001,11407,00000
0482,011,02366,005,0100,0100,0100,0100,00149,00000,00001,11433,00000
0483,011,02548,006,0100,0100,0100,0100,00149,00000,00001,11461,00000
0484,011,01911,006,0100,0100,0100,0100,00047,00000,00001,11482,00000
0485,011,02730,006,-040,-040,-040,-040,00046,00000,00001,11512,00000
0486,011,02730,006,-040,-040,-040,-040,00046,00000,00001,11542,00000
0487,011,02457,005,0100,0100,0100,0100,00046,00000,00001,11569,00000
0488,011,02548,006,0100,0100,0100,0100,00174,00000,00001,11597,00000
0489,011,02184,009,0100,0100,0100,0100,00174,00000,00001,11621,00000
0490,011,02821,014,-100,-100,-100,-100,00178,00000,00001,11652,00000
0491,011,02457,018,0100,0100,0100,0100,00174,00000,00001,11679,00000
0492,071,02366,022,0100,0100,0100,0100,00244,00000,00001,11705,00000
0493,072,02639,025,0100,0100,0100,0100,00249,00000,00001,11734,00000
0494,072,02093,027,0100,0100,0100,0100,00243,00000,00001,11757,00000
0495,072,02821,033,0100,0100,0100,0100,00243,00000,00001,11788,00000
0496,072,02457,036,0100,0100,0100,0100,00203,00000,00001,11815,00000
0497,072,02548,039,0100,0100,0100,0100,00202,00000,00001,11843,00000
0498,072,02912,040,0100,0100,0100,0100,00203,00000,00001,11875,00000
0499,072,02366,041,0100,0100,0100,0100,00202,00000,00001,11901,00000
0500,072,02912,041,0100,0100,0100,0100,00217,00000,00001,11933,00000
0501,072,02366,041,0100,0100,0100,0100,00217,00000,00001,11959,00000
0502,072,03094,043,0100,0100,0100,0100,00216,00000,00001,11993,00000
0503,072,02366,048,0100,0100,0100,0100,00217,00000,00001,12019,00000
0504,072,03185,054,-010,-010,-010,-010,00121,00000,00001,12054,00000
0505,072,02912,055,0100,0100,0100,0100,00121,00000,00001,12086,00000
0506,072,02548,059,0100,0100,0100,0100,00121,00000,00001,12114,00000
0507,072,03003,062,0100,0100,0100,0100,00126,00000,00001,12147,00000
0508,072,02366,065,0100,0100,0100,0100,00113,00000,00001,12173,00000
0509,072,03003,068,0100,0100,0100,0100,00117,00000,00001,12206,00000
0510,072,02366,071,0100,0100,0100,0100,00111,00000,00001,12232,00000
0511,072,03094,077,0100,0100,0100,0100,00111,00000,00001,12266,00000
0512,072,02457,081,0100,0100,0100,0100,00096,00000,00001,12293,00000
0513,072,03003,084,0100,0100,0100,0100,00096,00000,00001,12326,00000
0514,072,02912,088,0100,0100,0100,0100,00096,00000,00001,12358,00000
0515,072,02639,093,0100,0100,0100,0100,00096,00000,00001,12387,00000
0516,072,02912,099,0100,0100,0100,0100,00113,00000,00001,12419,00000
0517,072,02548,104,0100,0100,0100,0100,00112,00000,00001,12447,00000
0518,072,03094,107,0100,0100,0100,0100,00112,00000,00001,12481,00000
0519,072,02457,111,0100,0100,0100,0100,00112,00000,00001,12508,00000
0520,072,02912,112,0100,0100,0100,0100,00060,00000,00001,12540,00000
0521,072,02275,111,0100,0100,0100,0100,00059,00000,00001,12565,00000
0522,072,03094,109,0100,0100,0100,0100,00059,00000,00001,12599,00000
0523,072,02730,109,0100,0100,0100,0100,00064,00000,00001,12629,00000
0524,072,02366,107,0100,0100,0100,0100,00076,00000,00001,12655,00000
0525,072,02912,103,0100,0100,0100,0100,00070,00000,00001,12687,00000
0526,072,02275,101,0100,0100,0100,0100,00071,00000,00001,12712,00000
0527,072,03003,096,0100,0100,0100,0100,00071,00000,00001,12745,00000
0528,072,02366,091,0100,0100,0100,0100,00079,00000,00001,12771,00000
0529,072,03003,086,0100,0100,0100,0100,00079,00000,00001,12804,00000
0530,072,02821,079,0100,0100,0100,0100,00078,00000,00001,12835,00000
0531,072,02639,070,0100,0100,0100,0100,00079,00000,00001,12864,00000
0532,072,02912,063,0100,0100,0100,0100,00051,00000,00001,12896,00000
0533,072,02548,052,0100,0100,0100,0100,00050,00000,00001,12924,00000
0534,072,03003,045,0100,0100,0100,0100,00050,00000,00001,12957,00000
0535,072,02457,039,0100,0100,0100,0100,00051,00000,00001,12984,00000
0536,072,03094,032,0100,0100,0100,0100,00117,00000,00001,13018,00000
0537,072,02457,028,0100,0100,0100,0100,00117,00000,00001,13045,00000
0538,072,03003,026,0100,0100,0100,0100,00121,00000,00001,13078,00000
0539,072,02639,027,0100,0100,0100,0100,00115,00000,00001,13107,00000
0540,072,03185,030,-010,-010,-010,-010,00103,00000,00001,13142,00000
0541,072,03003,033,0100,0100,0100,0100,00104,00000,00001,13175,00000
0542,072,02821,036,0100,0100,0100,0100,00104,00000,00001,13206,00000
0543,072,03094,039,0100,0100,0100,0100,00104,00000,00001,13240,00000
0544,072,02730,043,0100,0100,0100,0100,00063,00000,00001,13270,00000
0545,072,03003,048,0100,0100,0100,0100,00063,00000,00001,13303,00000
0546,072,02639,052,0100,0100,0100,0100,00063,00000,00001,13332,00000
0547,072,03185,055,-010,-010,-010,-010,00063,00000,00001,13367,00000
0548,072,02730,055,0100,0100,0100,0100,00021,00000,00001,13397,00000
0549,072,03276,052,-070,-070,-070,-070,00021,00000,00001,13433,00000
0550,072,02639,047,0100,0100,0100,0100,00021,00000,00001,13462,00000
0551,072,03276,039,-070,-070,-070,-070,00021,00000,00001,13498,00000
0552,072,02366,030,0100,0100,0100,0100,00142,00000,00001,13524,00000
0553,072,03094,023,0100,0100,0100,0100,00146,00000,00000,13558,00000
0554,072,02275,017,0100,0100,0100,0100,00139,00000,00000,13583,00000
0555,072,02912,010,0100,0100,0100,0100,00141,00000,00000,13615,00000
0556,072,02821,005,0100,0100,0100,0100,00116,00001,00000,13646,00000
0557,072,02639,000,0100,0100,0100,0100,00116,00001,00000,13675,00000
0558,073,03094,-05,-100,-100,-100,-100,00122,00001,00000,13709,00000
0559,073,02548,-08,-100,-100,-100,-100,00032,00001,00000,13737,00000
0560,073,03003,-12,-100,-100,-100,-100,00030,00001,00000,13770,00000
0561,073,02275,-15,-100,-100,-100,-100,00029,00001,00000,13795,00000
0562,073,02821,-16,-100,-100,-100,-100,00029,00001,00000,13826,00000
0563,073,02639,-20,-100,-100,-100,-100,00097,00001,00000,13855,00000
0564,073,02002,-22,-100,-100,-100,-100,00099,00001,00000,13877,00000
0565,073,02366,-26,-100,-100,-100,-100,00097,00001,00000,13903,00000
0566,073,01820,-29,-010,-010,-010,-010,00096,00001,00000,13923,00000
0567,073,02002,-32,-100,-100,-100,-100,00176,00001,00000,13945,00000
0568,073,02184,-37,-100,-100,-100,-100,00182,00001,00000,13969,00000
0569,073,01820,-37,-010,-010,-010,-010,00178,00001,00000,13989,00000
0570,073,01183,-41,0100,0100,0100,0100,00172,00001,00000,14002,00000
0571,073,01547,-44,0100,0100,0100,0100,00134,00000,00000,14019,00000
0572,073,01638,-47,0100,0100,0100,0100,00133,00000,00001,14037,00000
0573,073,01456,-51,0100,0100,0100,0100,00133,00000,00001,14053,00000
0574,073,01092,-52,0100,0100,0100,0100,00134,00000,00001,14065,00000
0575,073,01729,-46,0100,0100,0100,0100,00109,00000,00001,14084,00000
0576,073,01820,-42,-010,-010,-010,-010,00108,00000,00000,14104,00000
0577,073,01638,-36,0100,0100,0100,0100,00109,00000,00000,14122,00000
0578,073,01183,-30,0100,0100,0100,0100,00109,00000,00000,14135,00000
0579,073,01820,-24,-010,-010,-010,-010,00064,00000,00000,14155,00000
0580,073,01911,-18,-040,-040,-040,-040,00063,00000,00000,14176,00000
0581,073,01638,-12,0100,0100,0100,0100,00064,00000,00001,14194,00000
0582,073,01274,-06,0100,0100,0100,0100,00063,00000,00001,14208,00000
0583,073,01820,-02,-010,-010,-010,-010,00109,00000,00001,14228,00000
0584,073,01820,002,-010,-010,-010,-010,00113,00000,00001,14248,00000
0585,073,01365,001,0100,0100,0100,0100,00108,00000,00001,14263,00000
0586,073,01638,000,0100,0100,0100,0100,00108,00000,00001,14281,00000
0587,073,01820,-04,-010,-010,-010,-010,00141,00000,00001,14301,00000
0588,073,01729,-08,0100,0100,0100,0100,00141,00000,00001,14320,00000
0589,073,01274,-07,0100,0100,0100,0100,00141,00000,00001,14334,00000
0590,073,01820,-04,-010,-010,-010,-010,00142,00000,00001,14354,00000
0591,073,01729,-01,0100,0100,0100,0100,00134,00000,00001,14373,00000
0592,073,01547,000,0100,0100,0100,0100,00134,00000,00001,14390,00000
0593,073,01183,000,0100,0100,0100,0100,00133,00000,00001,14403,00000
0594,073,02002,000,-100,-100,-100,-100,00135,00000,00001,14425,00000
0595,073,02002,000,-100,-100,-100,-100,00135,00000,00001,14447,00000
0596,073,01638,000,0100,0100,0100,0100,00134,00000,00001,14465,00000
0597,011,01274,000,0100,0100,0100,0100,00133,00000,00001,14479,00000
0598,011,01820,000,0100,0100,0100,0100,00139,00000,00001,14499,00000
0599,011,01820,-03,0100,0100,0100,0100,00106,00000,00001,14519,00000
0600,011,01456,001,0100,0100,0100,0100,00109,00000,00001,14535,00000
0601,011,01638,-01,0100,0100,0100,0100,00103,00000,00001,14553,00000
0602,011,02093,000,0100,0100,0100,0100,00104,00000,00001,14576,00000
0603,011,01911,001,0100,0100,0100,0100,00105,00000,00001,14597,00000
0604,011,01547,001,0100,0100,0100,0100,00104,00000,00001,14614,00000
0605,011,02275,002,0100,0100,0100,0100,00104,00000,00001,14639,00000
0606,011,02002,002,0100,0100,0100,0100,00104,00000,00001,14661,00000
0607,011,01729,002,0100,0100,0100,0100,00080,00000,00001,14680,00000
0608,011,02366,003,0100,0100,0100,0100,00080,00000,00001,14706,00000
0609,021,02275,005,-030,-030,-100,-100,00080,00009,00001,14731,00000
0610,021,01911,004,-100,-100,-030,-030,00079,00000,00001,14752,00000
0611,021,02457,003,-030,-030,-100,-100,00092,00000,00001,14779,00000
0612,021,02093,004,-030,-030,-030,-030,00092,00000,00001,14802,00000
0613,021,01729,004,-100,-100,-030,-030,00091,00000,00001,14821,00000
0614,022,02093,003,-010,-010,-010,-010,00096,00000,00001,14844,00000
0615,022,01911,002,0100,0100,0100,0100,00138,00000,00001,14865,00000
0616,022,01274,001,0100,0100,0100,0100,00136,00000,00001,14879,00000
0617,022,02002,000,-010,-010,-010,-010,00136,00000,00001,14901,00000
0618,022,01911,002,0100,0100,0100,0100,00137,00000,00001,14922,00000
0619,022,01729,003,0100,0100,0100,0100,00088,00000,00001,14941,00000
0620,022,01365,005,0100,0100,0100,0100,00087,00000,00001,14956,00000
0621,022,01911,005,0100,0100,0100,0100,00087,00000,00001,14977,00000
0622,022,02002,004,-010,-010,-010,-010,00087,00000,00001,14999,00000
0623,022,01456,004,0100,0100,0100,0100,00084,00000,00001,15015,00000
0624,022,02093,004,-010,-010,-010,-010,00083,00000,00001,15038,00000
0625,022,02093,003,-010,-010,-010,-010,00083,00000,00001,15061,00000
0626,022,01638,004,0100,0100,0100,0100,00083,00000,00001,15079,00000
0627,022,01456,004,0100,0100,0100,0100,00084,00000,00001,15095,00000
0628,022,02093,003,-010,-010,-010,-010,00083,00000,00001,15118,00000
0629,022,01820,004,0100,0100,0100,0100,00089,00000,00001,15138,00000
0630,022,01456,003,0100,0100,0100,0100,00087,00000,00001,15154,00000
0631,022,02002,003,-010,-010,-010,-010,00084,00000,00001,15176,00000
0632,022,02002,003,-010,-010,-010,-010,00083,00000,00001,15198,00000
0633,022,01547,004,0100,0100,0100,0100,00083,00000,00001,15215,00000
0634,022,01638,004,0100,0100,0100,0100,00083,00000,00001,15233,00000
0635,022,02002,004,-010,-010,-010,-010,00088,00000,00001,15255,00000
0636,022,01911,003,0100,0100,0100,0100,00087,00000,00001,15276,00000
0637,022,01183,004,0100,0100,0100,0100,00087,00000,00001,15289,00000
0638,022,01729,003,0100,0100,0100,0100,00087,00000,00001,15308,00000
0639,022,01911,003,0100,0100,0100,0100,00087,00000,00001,15329,00000
0640,022,01820,004,0100,0100,0100,0100,00087,00000,00001,15349,00000
